BuildingID,BuildingName,PowerMeters
AT1018,數學館,1A_2+1A_3
AT1019,新數學研究中心,1A_4+1A_5+1A_6+1A_7+1A_10
AT1020,新生大樓,1A_8+1A_9
AT1040,化學館,1B_1-1B_2-1B_3
AT1023,電機一館,1B_2
AN1022,生化所,1B_3
AT1011,海洋研究所,1D_1
AT1005,游泳池,1E_1-1E_3-1E_4-1E_6-1E_7-1E_8-1E_9-1E_10-1E_11
AT1006,舊體育館,1E_3+1E_4+1E_6+1E_7+1E_8+1E_9+1E_10+1E_11
AT1009(1),闈場,1F_10+1F_12+1F_13
AT1015,小福樓,1F_3+1F_4
AT1009,普通大樓,1F_5+1F_6+1F_7+1F_8+1F_9+1F_11
AT2007,化學工程館,1G_1
AT2008,土木館（一區G站總用電）,1H_1
AT2006,文學院,1I_1
AT2005,舊總圖,1J_P1_1-1J_P2_5-1J_P1_10-1J_P2_4-1J_P2_3-1J_P1_8-1J_P1_11-1J_P1_5-1J_P2_2-1J_P2_7-1J_P2_6-1J_P2_1-1J_P1_12-1J_P1_13-1J_P1_14-1J_P1_15-1J_P1_7
AT2005(1),校史館,1J_P1_12+1J_P1_13+1J_P1_14
AT1041,新南停車場（新月台）,1J_P1_15
AT1002-A,司令台,1J_P1_7
AT2005-1,樂學館,1J_P1_8+1J_P1_11+1J_P1_5+1J_P2_2+1J_P2_7
AT2002,人類學系,1J_P2_4+1J_P2_3
AT2003,哲學系,1J_P2_5+1J_P1_10
AT2001,農業陳列館,1J_P2_6+1J_P2_1
AT1017,思亮館,1K_1+1K_2
AN1024,原分所,1L_1
AT3038,社會研究所,1M_1
AT3039,國家發展所大樓,1N_1
AT3040,新聞所大樓,1O_1
AT3035,國青舍（研三舍）,1P_1
AT1025,水產養殖池,1Q_2+1Q_3
AT3041,總圖書館,1S_1
AT3001,資訊工程館,1T_1-1T_2-1T_3-1T_4
AT3002,機械臨時工廠,1T_2+1T_3+1T_4
AT1038,凝態科學館,1U_1
AT1039,體育館,1V_1
AT4026,推廣中心,1Z_2-1Z_3-1Z_4
AT4026-4,城鄉所,1Z_3+1Z_4
AT2015,一號館,2A_P1_2+2A_P1_3+2A_P1_4+2A_P2_6+2A_P2_10+2A_P3_14+2A_P3_17+2A_P3_18+2C_9
AT2018,女三舍女二舍,2A_P1_5
AT2020,植物病毒研究室,2A_P2_1+2A_P3_10+2A_P3_12
AT2016,漁業陳列館,2A_P2_2+2A_P3_9
AT2015-A,動物標本館,2A_P2_3+2A_P3_8
AT2021,植物標本館,2A_P2_4+2A_P3_5
AT2020-C,植物溫室,2A_P2_8+2A_P3_6
AT2016-A,漁業生物實驗室,2A_P2_9+2A_P3_11
AT2017,女一舍,2A_P3_3+2A_P3_13+2A_P1_13
AT2004-F,大門口警衛室,2A_P3_7+2A_P2_5+2A_P2_11
AT2027,二號館,2C_1+2C_3-2C_4-2C_5-2C_6-2C_8-2C_9-2C_10
AT2018-A,雜工班,2C_4+2C_6+2C_8+2C_10+2D_P2_9
AT2028-A,電子顯微鏡館,2D_P1_2+2D_P1_6+2D_P1_5+2D_P2_8
AT2030-B,性別平等教育委員會,2D_P1_4
AT2022,女五舍,2D_P1_8
AT2029,農化二館暨行政大樓,2D_P2_10
AT2030-D,物理系液氮機室,2D_P2_4
AT2028,三號館,2D_P2_5+2D_P2_6+2D_P2_7+2D_P2_1+2D_P2_2+2D_P2_3
AT2034-C,小小福,2E_P1_11+2E_P2_14+2E_P2_15
AT2034,夜間部大樓,2E_P1_14+2E_P2_5+2E_P2_12
AT2038-B,舟山路崗亭,2E_P1_16+2E_P1_17
AT2031(1),化工光電晶體實驗室,2E_P1_2+2E_P1_4+2E_P2_3+2E_P2_2
AT2031,植物系研究室,2E_P1_5+2E_P1_8+2E_P2_9+2E_P1_13
AT2031(2),材料所陶瓷實驗室,2E_P1_9
AT2031-A,望樂樓,2E_P2_10+2E_P2_7+2E_P1_6+2E_P1_3+2E_P2_11+2E_P1_10
AT2033,農化系實驗室,2E_P2_4+2E_P2_1-2E_P2_14-2E_P2_15
AT2034-B,保管組倉庫,2E_P2_6
AT2030,農化系食品工廠,2E_P2_8+2E_P1_7
AT2037,農綜館,2F_P1_1-2F_P2_9-2F_P2_4-2F_P2_3-2F_P2_10-2F_P2_11-2F_P2_12-2F_P2_2-2F_P2_1-2F_P2_13-2F_P2_14-2F_P1_4-2F_P2_18-2F_P2_17-2F_P1_8-2F_P1_7-2F_P1_10-2F_P1_11-2F_P1_2-2F_P1_9-2F_P2_5-2F_P1_12-2F_P2_6-2F_P2_16
AT2038,共同教室,2F_P1_14
AT2032-A,第一會議室,2F_P1_2+2F_P1_9
AT2032,行政大樓前棟,2F_P1_4+2F_P2_18+2F_P1_10+2F_P1_11
AT2036,五號館,2F_P2_1+2F_P2_2+2F_P2_13+2F_P2_14
AT2032-1,行政大樓後棟,2F_P2_17+2F_P1_8+2F_P1_7+2E_P1_15
AT2035,四號館,2F_P2_3+2F_P2_4+2F_P2_9+2F_P2_10+2F_P2_11+2F_P2_12
AT2038-A,農產品中心,2F_P2_5+2F_P1_12
AT2041,農化系土壤研究室,2F_P2_6+2F_P2_16
AT2040,生工系實驗室,2F_P2_7+2F_P2_15
AT2045,保健中心,2H_P1_4+2H_P2_11+2H_P2_10+2H_P2_9+2H_P1_8
AT2046,林產館,2H_P2_13+2H_P1_11
AT2043,水工試驗所,2H_P2_3+2H_P1_6+2H_P2_12
AT2042,森林館,2H_P2_6+2H_P1_5+2H_P2_2+2H_P2_1+2H_P2_4+2H_P1_2+2H_P1_10+2H_P1_3+2H_P2_5
AT2044-A,水工試驗所馬達房,2H_P2_7+2H_P1_7
AT2047,航空測量館,2H_P2_8+2H_P1_9
AT1035,語言大樓,3A_2
AT1031,計資中心,3A_3-3A_7
AT1026,漁業科學館,3A_4-1Q_2-1Q_3
AT1032,視聽教育館,3A_5
AT1033,心理研究大樓,3A_6
AT3037-D,辛亥大門,3A_7
AT1034,心理系新館,3B_1
AT1036,應用力學研究大樓,3B_2
AT1037,工學院綜合大樓,3B_3
AT3003,電機二館暨新館,3C_1_1+3C_1_2+3C_1_3
AT3005,獸醫一館,3C_2_1
AT3043,獸醫三館,3C_3_1
AT1029,志鴻館,3D_P1_11+3D_P2_1+3D_P1_6+3D_P1_13+3D_P1_12+3D_P1_2+3D_P1_3+3D_P1_15
AT1027,女八、九舍,3D_P1_5+3D_P1_4
AT1030,機械舊館,3D_P1_8+3D_P2_3+3D_P1_9+3D_P1_7+3D_P2_4+3D_P1_10+3D_P2_2+3D_P2_5+3D_P2_6
AT2011,第一活動中心,3E_P1_2+3E_P1_11+3E_P1_15+3E_P2_2+3E_P2_6+3E_P2_7+3E_P2_8
AT2010,圖書資訊館,3E_P1_3+3E_P1_4+3E_P1_5+3E_P1_8+3E_P2_4+3E_P2_5+3E_P2_9
AT2009,綜合教室,3E_P1_6+3E_P1_10+3E_P1_13+3E_P1_14+3E_P2_3
AT2012,農藝館,3E_P2_14
AT4029,管理學院教學館,4B_2-4B_3-4B_4-4B_5
AT4029-B,多功能生活廳,4B_3
AT4029-A,原教堂（藝文中心）,4B_5
AT4025,管理學院1號館,4C_1
AT3010,農機館（減中非大樓用電）,4E_1-at3013-1_1
AT3042,博理館,4G_1
AT2044,水工大樓,4H_1
AT2048,園藝系花卉館,4J_2
AT2025,研一女,at2025_1
AT2026,研一男,at2026_3
AT3013,中非大樓,at3013-1_1
AT5041-1,獸醫二館,at3043_1
AT4002,環工所,at4002_2
AT4003,工科海洋系,at4003_1-at4002_2
AT4016,園藝系造園館,at4016_1
AT4018,地理系,at4018_1
AT4018-A(1),浩翰樓華南銀行,at4018_3
AT4019,大氣系A、B館,at4019_1
AT4020,食科館,at4020_1
AT4021,園產加工廠,at4021_1
AT4022,鹿嗚堂一樓,at4022-1_1
AT4022(1),戲劇廳（鹿嗚堂二樓）,at4022-1_2
AT4022-1,鹿嗚雅舍,at4022-1_3+at4022-1_4
AT4022-2,教職員工聯誼廳,at4022-1_5
AT4023,地質系,at4023_1-at4022_1-at4023-1_1
AT4027-A,幼稚園,at4023-1_1
AT4024,展書樓,at4024_1
AT4030,學生第二活動中心,at4030_1-at4030-1_1
AT4030-1,管院二號館,at4030-1_1
AT4032,園藝系精密溫室（需減轉殖溫室用電）,at4032_1-at4019_1-at4032_2
AT4032(1),轉殖溫室,at4032_2
AT4034,食科所食品研發大樓,at4034_1
AT5001,男八舍,at5001_1
AT5002,男六舍,at5002_1-at5001_1
AT5014,生技中心,at5014_1
AT5017,男一舍,at5017_5
AT5017-A,男一舍外大餐廳,at5017_6
AT5018,男三舍,at5018_3-at5017_6
AT5019,男五舍,at5019_3
AT5021,男七舍,at5021_1
AT5037,動科系,at5037_1
AT5041,動物醫院,at5041_1
AT4009-A,人工氣候室,at6003_1
AT5039,昆蟲館,at6004_1
AT4018-A,浩翰樓,ax2036-1_1-at4018_1-at4018_3
NTUA,台大總錶,MVCB
